Metric,Value
Index,-
P/E,89.73
EPS (ttm),3.99
Insider Own,8.67%
Shs Outstand,136.50M
Perf Week,3.80%
Market Cap,77.12B
Forward P/E,55.47
EPS next Y,6.46
Insider Trans,-20.80%
Shs Float,128.46M
Perf Month,3.12%
Enterprise Value,81.36B
PEG,1.42
EPS next Q,1.28
Inst Own,92.13%
Short Float,9.89%
Perf Quarter,19.50%
Income,563.00M
P/S,4.74
EPS this Y,170.05%
Inst Trans,-0.94%
Short Ratio,3.80
Perf Half Y,25.60%
Sales,16.27B
P/B,28.28
EPS next Y,24.27%
ROA,6.81%
Short Interest,12.70M
Perf YTD,76.22%
Book/sh,12.67
P/C,32.19
EPS next 5Y,63.17%
ROE,49.91%
52W High,413.33-13.30%
Perf Year,152.37%
Cash/sh,11.13
P/FCF,125.40
EPS past 3/5Y,- -
ROIC,7.55%
52W Low,124.39188.10%
Perf 3Y,614.88%
Dividend Est.,-
EV/EBITDA,45.15
Sales past 3/5Y,2.19%28.26%
Gross Margin,20.91%
Volatility,3.49% 4.25%
Perf 5Y,90.98%
Dividend TTM,-
EV/Sales,5.00
EPS Y/Y TTM,-34.00%
Oper. Margin,9.30%
ATR (14),15.79
Perf 10Y,-
Dividend Ex-Date,-
Quick Ratio,2.58
Sales Y/Y TTM,39.48%
Profit Margin,3.46%
RSI (14),55.99
Recom,1.96
Dividend Gr. 3/5Y,- -
Current Ratio,4.00
EPS Q/Q,811.99%
SMA20,2.83%
Beta,3.51
Target Price,412.45
Payout,0.00%
Debt/Eq,3.61
Sales Q/Q,41.94%
SMA50,5.80%
Rel Volume,1.25
Prev Close,349.99
Employees,17400
LT Debt/Eq,3.31
Earnings,Jul 30 AMC
SMA200,36.08%
Avg Volume,3.34M
Price,358.37
IPO,"Apr 28, 2017"
Option/Short,Yes / Yes
EPS/Sales Surpr.,16.55%5.75%
Trades,
Volume,"687,386"
Change,2.39%
