date,close,volume,returns,volatility,volume_ratio,anomaly_flag,posts_per_day,engagement_per_day,unique_users_per_day,post_change_pct,max_engagement_single_post,is_weekend,volatility_event,earnings_month,price_change,volume_spike,engagement_per_post,social_momentum
2023-01-03,4.630000114440918,12707300,,,1.0,0,30,560,22,-0.3181818181818182,22,0,0,1,,0,18.666666666666668,0.0
2023-01-04,5.039999961853027,11970100,0.08855288062160604,,1.0,0,32,569,24,0.0666666666666666,13,0,0,1,0.08855288062160604,0,17.78125,0.06666666666666665
2023-01-05,4.550000190734863,9938400,-0.09722217754501905,,1.0,0,41,1036,33,0.28125,1,0,0,1,-0.09722217754501905,0,25.26829268292683,0.28125
2023-01-06,4.409999847412109,8401700,-0.030769304934939457,,1.0,0,29,985,25,-0.2926829268292683,49,0,0,1,-0.030769304934939457,0,33.96551724137931,-0.29268292682926833
2023-01-09,4.440000057220459,9639200,0.006802768899403677,,1.0,0,26,413,19,-0.2972972972972973,14,0,0,1,0.006802768899403677,0,15.884615384615385,-0.10344827586206895
2023-01-10,4.420000076293945,6300500,-0.004504500150622537,,1.0,0,43,886,34,0.6538461538461539,4,0,0,1,-0.004504500150622537,0,20.6046511627907,0.6538461538461537
2023-01-11,5.5,38685700,0.24434386992400392,,1.0,1,41,619,35,-0.0465116279069767,36,0,0,1,0.24434386992400392,0,15.097560975609756,-0.046511627906976716
2023-01-12,8.029999732971191,87408500,0.4599999514493076,,1.0,1,41,908,29,0.0,59,0,0,1,0.4599999514493076,0,22.146341463414632,0.0
2023-01-13,7.019999980926514,67668200,-0.12577830456178185,,1.0,0,33,700,25,-0.1951219512195122,39,0,0,1,-0.12577830456178185,0,21.21212121212121,-0.19512195121951215
2023-01-17,7.309999942779541,33801800,0.041310535988741126,,1.0,0,31,644,22,-0.0606060606060606,79,0,0,1,0.041310535988741126,0,20.774193548387096,-0.06060606060606055
2023-01-18,6.980000019073486,35391500,-0.04514362876733158,,1.0,0,38,1180,28,0.2258064516129032,66,0,0,1,-0.04514362876733158,0,31.05263157894737,0.22580645161290325
2023-01-19,6.380000114440918,17168100,-0.08595987148897044,,1.0,0,33,645,25,-0.131578947368421,51,0,0,1,-0.08595987148897044,0,19.545454545454547,-0.13157894736842102
